type,exercise_id,video_id,title,path
Exercise,groups-of-tens,groups-of-tens,Groups of ten objects,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/groups-of-tens/
Exercise,tens-and-ones,tens-and-ones,Tens and ones,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/tens-and-ones/
Exercise,understanding-2-digit-numbers,understanding-2-digit-numbers,2-digit place value challenge,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/understanding-2-digit-numbers/
Video,greater-than-and-less-than-symbols,nFsQA2Zvy1o,Greater than and less than symbols,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/greater-than-and-less-than-symbols/
Exercise,comparing_whole_numbers,comparing_whole_numbers,Compare 2-digit numbers,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/comparing_whole_numbers/
Exercise,comparing-two-digit-numbers-1,comparing-two-digit-numbers-1,Compare 2-digit numbers 2,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/comparing-two-digit-numbers-1/
Exercise,hundreds--tens--and-ones,hundreds--tens--and-ones,"Hundreds, tens, and ones",khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/hundreds--tens--and-ones/
Exercise,writing-numbers-to-1000,writing-numbers-to-1000,3-digit place value challenge,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/writing-numbers-to-1000/
Video,comparing-whole-numbers,9Jg5S7F2SMQ,Comparing whole numbers,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-three-digit-compare/comparing-whole-numbers/
Exercise,comparing-numbers-within-1000,comparing-numbers-within-1000,Compare 3-digit numbers,khan/math/early-math/cc-early-math-place-value-topic/cc-early-math-three-digit-compare/comparing-numbers-within-1000/
Video,adding-within-20,ZgzpTx-s9Zo,Adding 7 + 6,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/adding-within-20/
Video,adding-within-20-example,AK0NZITv5Ns,Adding 8 + 7,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/adding-within-20-example/
Exercise,addition_2,addition_2,Add within 20,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/addition_2/
Video,adding-3-numbers,Utm875JRi-o,Adding 5 + 3 + 6,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/adding-3-numbers/
Exercise,adding-three-numbers,adding-three-numbers,Add 3 numbers,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/adding-three-numbers/
Video,subtracting-within-20,9McJ3GobPaY,Subtracting 14 - 6,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-sub-20/subtracting-within-20/
Exercise,subtraction_2,subtraction_2,Subtract within 20,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-sub-20/subtraction_2/
Video,equal-sign,gEGKvx1wlFg,Equal sign,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-equals-sign/equal-sign/
Exercise,meaning-of-equal-sign-1,meaning-of-equal-sign-1,Equal sign,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-equals-sign/meaning-of-equal-sign-1/
Exercise,missing-number-within-20--add-and-subtract-,missing-number-within-20--add-and-subtract-,Find missing number (add and subtract within 20),khan/math/early-math/cc-early-math-add-sub-20/missing-number-within-20/missing-number-within-20--add-and-subtract-/
Video,sea-monsters-and-superheroes,fGok2nHOjnI,Addition and subtraction word problems: superheroes,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-within-20/sea-monsters-and-superheroes/
Exercise,addition-and-subtraction-word-problems-within-20--level-1,addition-and-subtraction-word-problems-within-20--level-1,Addition and subtraction word problems 1,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-within-20/addition-and-subtraction-word-problems-within-20--level-1/
Video,exercising-gorillas,SfgD7Sm08ns,Addition and subtraction word problems: gorillas,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-within-20/exercising-gorillas/
Exercise,addition-and-subtraction-word-problems-within-20--level-2,addition-and-subtraction-word-problems-within-20--level-2,Addition and subtraction word problems 2,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-within-20/addition-and-subtraction-word-problems-within-20--level-2/
Video,comparison-word-problems,osIFa9zcI-w,Comparison word problems: marbles,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-more-fewer-20/comparison-word-problems/
Exercise,addition-and-subtraction-word-problems-within-20--level-3,addition-and-subtraction-word-problems-within-20--level-3,"Word problems with ""more"" and ""fewer"" 1",khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-more-fewer-20/addition-and-subtraction-word-problems-within-20--level-3/
Video,more-comparison-word-problems,3rs7sFPoiZ4,Comparison word problems: roly-polies,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-more-fewer-20/more-comparison-word-problems/
Exercise,addition-and-subtraction-word-problems-within-20--level-4,addition-and-subtraction-word-problems-within-20--level-4,"Word problems with ""more"" and ""fewer"" 2",khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-word-problems-more-fewer-20/addition-and-subtraction-word-problems-within-20--level-4/
Video,repeated-addition-example,j5c6pqAP2IA,Repeated addition: haircuts,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-repeated-addition/repeated-addition-example/
Exercise,repeated-addition,repeated-addition,Repeated addition,khan/math/early-math/cc-early-math-add-sub-20/cc-early-math-repeated-addition/repeated-addition/
Video,comparing-adding-1-and-10,mKsKU0BAiRM,Adding 1 vs. adding 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-ones-tens/comparing-adding-1-and-10/
Exercise,add-within-100--level-1,add-within-100--level-1,Add 1 or 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-ones-tens/add-within-100--level-1/
Video,understanding-place-value-while-adding-tens,Dy5uDkOoMNc,Understanding place value when adding tens,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-ones-tens/understanding-place-value-while-adding-tens/
Video,understanding-place-value-when-adding-ones,7_QPAdHILzw,Understanding place value when adding ones,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-ones-tens/understanding-place-value-when-adding-ones/
Exercise,adding-1s-or-10s-to-two-digit-numbers,adding-1s-or-10s-to-two-digit-numbers,Add 1s or 10s (no regrouping),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-ones-tens/adding-1s-or-10s-to-two-digit-numbers/
Video,comparing-subtracting-1-and-10,8YR1E7XWPz8,Subtracting 1 vs. subtracting 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-ones-tens/comparing-subtracting-1-and-10/
Exercise,subtract-with-in-100-level-1,subtract-with-in-100-level-1,Subtract 1 or 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-ones-tens/subtract-with-in-100-level-1/
Video,understanding-place-value-while-subtracting-ones,FWEqB0J6mgA,Subtracting 1s using place value,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-ones-tens/understanding-place-value-while-subtracting-ones/
Video,understanding-place-value-when-subtracting-tens,bNNrlzel4Gw,Subtracting 10s using place value,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-ones-tens/understanding-place-value-when-subtracting-tens/
Exercise,subtracting-1s-or-10s,subtracting-1s-or-10s,Subtracting 1s or 10s (no regrouping),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-ones-tens/subtracting-1s-or-10s/
Video,adding-two-digit-numbers-no-regrouping,EV38zfiY6Vs,Adding 2-digit numbers without regrouping 1,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/adding-two-digit-numbers-no-regrouping/
Video,adding-two-digit-numbers-without-regrouping,K5rmfHlHy20,Adding 2-digit numbers without regrouping 2,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/adding-two-digit-numbers-without-regrouping/
Exercise,add-within-100--level-2,add-within-100--level-2,Add 2-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/add-within-100--level-2/
Video,breaking-apart-two-digit-addition-problems,UjfmOmPARyk,Breaking apart 2-digit addition problems,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/breaking-apart-two-digit-addition-problems/
Exercise,breaking-apart-two-digit-addition-problems_1,breaking-apart-two-digit-addition-problems,Break apart 2-digit addition problems,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/breaking-apart-two-digit-addition-problems_1/
Video,regrouping-when-adding-two-digit-and-one-digit-number,G1cNKc3PD74,Regrouping to add 1-digit number,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/regrouping-when-adding-two-digit-and-one-digit-number/
Video,adding-by-getting-to-group-of-10-first,DzJvR56Suss,Adding by making a group of 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/adding-by-getting-to-group-of-10-first/
Exercise,regroup-two-digit-plus-one-digit,regroup-two-digit-plus-one-digit,Regroup when adding 1-digit numbers,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-two-dig-intro/regroup-two-digit-plus-one-digit/
Video,subtracting-2-digit-numbers-without-regrouping,slIX9EDcHgE,Subtracting 2-digit numbers without regrouping 1,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-two-dig-intro/subtracting-2-digit-numbers-without-regrouping/
Video,subtracting-two-digit-numbers-without-regrouping,RzEFGpe0rv4,Subtracting two-digit numbers without regrouping (example 2),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-two-dig-intro/subtracting-two-digit-numbers-without-regrouping/
Exercise,subtract-within-100-level-2,subtract-within-100-level-2,Subtract 2-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-two-dig-intro/subtract-within-100-level-2/
Video,regrouping-to-subtract-one-digit-number,zvetEuVJ0bE,Subtracting a 1-digit number with regrouping,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-two-dig-intro/regrouping-to-subtract-one-digit-number/
Exercise,regroup-two-dig-minus-one-dig,regroup-two-dig-minus-one-dig,Subtract 1-digit numbers with regrouping,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-sub-two-dig-intro/regroup-two-dig-minus-one-dig/
Video,addition-using-groups-of-10-intro,Q35CH9B3tvc,Adding 53+17 by making a group of 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/addition-using-groups-of-10-intro/
Exercise,making-100,making-100,Add 2-digit numbers by making tens,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/making-100/
Video,adding-by-getting-to-group-of-10-first,DzJvR56Suss,Adding by making a group of 10,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/adding-by-getting-to-group-of-10-first/
Exercise,making-100-level-2,making-100-level-2,Add 2-digit numbers by making tens 2,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/making-100-level-2/
Video,example-exercises-on-ways-to-add-two-digit-numbers,kMHFY6ZrKbU,Strategies for adding 2-digit numbers,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/example-exercises-on-ways-to-add-two-digit-numbers/
Exercise,select-strategies-for-adding-within-100,select-strategies-for-adding-within-100,Select strategies for adding within 100,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/select-strategies-for-adding-within-100/
Video,correct-number-lines-for-addition-and-subtraction,I5xcZgyY4ag,Addition and subtraction with number lines,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/correct-number-lines-for-addition-and-subtraction/
Exercise,add-sub-within-100-w-num-line,add-sub-within-100-w-num-line,Add and subtract using a number line,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-strategies-for-adding-within-100/add-sub-within-100-w-num-line/
Video,adding-two-digit-numbers-without-regrouping,K5rmfHlHy20,Adding 2-digit numbers without regrouping 2,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-subtract-100/adding-two-digit-numbers-without-regrouping/
Video,addition-with-regrouping,8mcTsyV56jI,Adding with regrouping,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-subtract-100/addition-with-regrouping/
Exercise,addition_3,addition_3,Add within 100,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-subtract-100/addition_3/
Video,subtracting-2-digit-numbers-without-regrouping,slIX9EDcHgE,Subtracting 2-digit numbers without regrouping 1,khan/math/early-math/cc-early-math-add-sub-100/subtraction-within-100/subtracting-2-digit-numbers-without-regrouping/
Video,introduction-to-regrouping-borrowing,egjDLFX9VHg,Subtracting with regrouping (borrowing),khan/math/early-math/cc-early-math-add-sub-100/subtraction-within-100/introduction-to-regrouping-borrowing/
Exercise,subtraction_3,subtraction_3,Subtract within 100,khan/math/early-math/cc-early-math-add-sub-100/subtraction-within-100/subtraction_3/
Video,adding-and-subtracting-on-number-line-word-problems,EQrCdEF3vNE,Adding and subtracting on number line word problems,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/adding-and-subtracting-on-number-line-word-problems/
Exercise,adding-and-subtracting-on-the-number-line-word-problems,adding-and-subtracting-on-the-number-line-word-problems,Add and subtract on the number line word problems,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/adding-and-subtracting-on-the-number-line-word-problems/
Video,losing-tennis-balls,rm3NjcSmFFo,Subtraction word problem: tennis balls,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/losing-tennis-balls/
Video,fence-posts-for-horses,1dZsuE0vxEI,Addition word problem: horses,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/fence-posts-for-horses/
Exercise,addition-and-subtraction-word-problems-within-100--level-1,addition-and-subtraction-word-problems-within-100--level-1,Add and subtract within 100 word problems 1,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/addition-and-subtraction-word-problems-within-100--level-1/
Video,snow-on-friday,wyWy4PouQxQ,Subtraction word problem: snow ,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/snow-on-friday/
Video,using-crayons,ZJ39gHgz_Dk,Subtraction word problem: crayons,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/using-crayons/
Exercise,addition-and-subtraction-word-problems-within-100--level-2,addition-and-subtraction-word-problems-within-100--level-2,Add and subtract within 100 word problems 2,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-100-word-problems/addition-and-subtraction-word-problems-within-100--level-2/
Video,fewer-word-problems,qyvwN-2PoXA,Subtraction word problem: basketball,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/fewer-word-problems/
Video,more-word-problems,jDIj0CUjGvM,Addition word problem: spinner,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/more-word-problems/
Exercise,addition-and-subtraction-word-problems-within-100--level-3,addition-and-subtraction-word-problems-within-100--level-3,Add and subtract within 100 word problems 3,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/addition-and-subtraction-word-problems-within-100--level-3/
Video,starfish-rulers,QYOieJuzDr4,Addition word problem: starfish,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/starfish-rulers/
Video,spots-on-a-die,pvyqucC-0NU,Addition word problem: spots,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/spots-on-a-die/
Exercise,addition-and-subtraction-word-problems-within-100--level-4,addition-and-subtraction-word-problems-within-100--level-4,Challenging add and subtract word problems (within 100),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-more-fewer-100/addition-and-subtraction-word-problems-within-100--level-4/
Video,skip-counting-by-5-example,UwWn84u6i8s,Skip-counting by 5s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/skip-counting-by-5-example/
Exercise,skip-counting-by-5s,skip-counting-by-5s,Skip-count by 5s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/skip-counting-by-5s/
Video,counting-by-tens-examples,rfZokAnD7QM,Counting by 10s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/counting-by-tens-examples/
Exercise,skip-counting-by-10s,skip-counting-by-10s,Skip-count by 10s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/skip-counting-by-10s/
Video,skip-counting-by-100-example,ruAXk6RnkG8,Skip-counting by 100s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/skip-counting-by-100-example/
Exercise,skip-counting-by-100s,skip-counting-by-100s,Skip-counting by 100s,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-skip-counting/skip-counting-by-100s/
Video,missing-numbers-in-addition-and-subtraction-within-100,zTK6XUF0HAs,Missing numbers in addition and subtraction,khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-miss-value-prob/missing-numbers-in-addition-and-subtraction-within-100/
Exercise,find-the-missing-number-add-sub-within-100,find-the-missing-number-add-sub-within-100,Find the missing number (add and subtract within 100),khan/math/early-math/cc-early-math-add-sub-100/cc-early-math-add-sub-miss-value-prob/find-the-missing-number-add-sub-within-100/
Video,adding-ten-or-one-hundred,wwO6DjL_wFw,Adding 10 or 100,khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-add-ones-tens-hundreds/adding-ten-or-one-hundred/
Video,adding-hundreds-tens-and-ones,SCBp0d6zR2I,"Adding 1s, 10s, and 100s",khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-add-ones-tens-hundreds/adding-hundreds-tens-and-ones/
Exercise,add-within-1000--level-1,add-within-1000--level-1,Add 10s and 100s (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-add-ones-tens-hundreds/add-within-1000--level-1/
Video,adding-three-digit-numbers-without-regrouping,d3109sV6izY,Adding 3-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-add-ones-tens-hundreds/adding-three-digit-numbers-without-regrouping/
Exercise,add-within-1000--level-2,add-within-1000--level-2,Add 2- and 3-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-add-ones-tens-hundreds/add-within-1000--level-2/
Video,subtracting-hundreds-and-tens,4BNIGTHUTTM,"Subtracting 1, 10, or 100",khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-sub-ones-tens-hundreds/subtracting-hundreds-and-tens/
Video,subtracting-3-digits,ycBxbgjQns4,"Subtracting 1s, 10s, and 100s",khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-sub-ones-tens-hundreds/subtracting-3-digits/
Exercise,subtract-within-1000--level-1,subtract-within-1000--level-1,Subtract 10s and 100s (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-sub-ones-tens-hundreds/subtract-within-1000--level-1/
Video,subtracting-three-digit-numbers-without-regrouping,i8r7ZTUqB9w,Subtracting 3-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-sub-ones-tens-hundreds/subtracting-three-digit-numbers-without-regrouping/
Exercise,subtract-within-1000--level-2,subtract-within-1000--level-2,Subtract 2- and 3-digit numbers (no regrouping),khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-sub-ones-tens-hundreds/subtract-within-1000--level-2/
Video,breaking-apart-three-digit-addition-problems,Hc9mcx739js,Breaking apart 3-digit addition problems,khan/math/early-math/cc-early-math-add-sub-1000/cc-early-math-strategies-for-adding-two-and-three-digit-numbers/breaking-apart-three-digit-addition-problems/
